name	filepath	source	rig	type	channels
Focal Listen Professional	over-ear/Focal Listen Professional.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Grado RS1x	over-ear/Grado RS1x.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Grado SR325x	over-ear/Grado SR325x.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Grado SR60e	over-ear/Grado SR60e.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Grado SR60x	over-ear/Grado SR60x.csv	Auriculares Argentina	KB501x + 711	over-ear	1
HarmonicDyne Black Hole	over-ear/HarmonicDyne Black Hole.csv	Auriculares Argentina	KB501x + 711	over-ear	1
HarmonicDyne Zeus Elite	over-ear/HarmonicDyne Zeus Elite.csv	Auriculares Argentina	KB501x + 711	over-ear	1
HEDD HEDDphone	over-ear/HEDD HEDDphone.csv	Auriculares Argentina	KB501x + 711	over-ear	1
HIFIMAN Ananda	over-ear/HIFIMAN Ananda.csv	Auriculares Argentina	KB501x + 711	over-ear	1
HIFIMAN Arya	over-ear/HIFIMAN Arya.csv	Auriculares Argentina	KB501x + 711	over-ear	1
HIFIMAN Deva Pro	over-ear/HIFIMAN Deva Pro.csv	Auriculares Argentina	KB501x + 711	over-ear	1
HIFIMAN HE-R9	over-ear/HIFIMAN HE-R9.csv	Auriculares Argentina	KB501x + 711	over-ear	1
HIFIMAN HE400se	over-ear/HIFIMAN HE400se.csv	Auriculares Argentina	KB501x + 711	over-ear	1
HIFIMAN Sundara (post-2020 earpads)	over-ear/HIFIMAN Sundara (post-2020 earpads).csv	Auriculares Argentina	KB501x + 711	over-ear	1
HIFIMAN Sundara Closed-Back	over-ear/HIFIMAN Sundara Closed-Back.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Kiwi Ears Division	over-ear/Kiwi Ears Division.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Koss Porta Pro (Yaxi earpads)	over-ear/Koss Porta Pro (Yaxi earpads).csv	Auriculares Argentina	KB501x + 711	over-ear	1
Meze 99 Classics	over-ear/Meze 99 Classics.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Meze 99 Neo	over-ear/Meze 99 Neo.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Neumann NDH20	over-ear/Neumann NDH20.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Neumann NDH30	over-ear/Neumann NDH30.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Philips Fidelio X2HR	over-ear/Philips Fidelio X2HR.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Philips SHP9500	over-ear/Philips SHP9500.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Rose Technics North Forest	over-ear/Rose Technics North Forest.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sendy Aiva	over-ear/Sendy Aiva.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sennheiser HD 280 Pro	over-ear/Sennheiser HD 280 Pro.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sennheiser HD 400 Pro	over-ear/Sennheiser HD 400 Pro.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sennheiser HD 558	over-ear/Sennheiser HD 558.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sennheiser HD 560S	over-ear/Sennheiser HD 560S.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sennheiser HD 58X	over-ear/Sennheiser HD 58X.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sennheiser HD 600	over-ear/Sennheiser HD 600.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sennheiser HD 650	over-ear/Sennheiser HD 650.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sennheiser HD 6XX	over-ear/Sennheiser HD 6XX.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sennheiser HD 800 S	over-ear/Sennheiser HD 800 S.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Shure SRH1840	over-ear/Shure SRH1840.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Shure SRH440	over-ear/Shure SRH440.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sivga Anser	over-ear/Sivga Anser.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sivga Audio Robin	over-ear/Sivga Audio Robin.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sivga Luan	over-ear/Sivga Luan.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sivga Oriole	over-ear/Sivga Oriole.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sivga P2 Pro	over-ear/Sivga P2 Pro.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Skullcandy Crusher Wireless (bass boost)	over-ear/Skullcandy Crusher Wireless (bass boost).csv	Auriculares Argentina	KB501x + 711	over-ear	1
Skullcandy Crusher Wireless	over-ear/Skullcandy Crusher Wireless.csv	Auriculares Argentina	KB501x + 711	over-ear	1
Sony MDR-ZX110	over-ear/Sony MDR-ZX110.csv	Auriculares Argentina	KB501x + 711	over-ear	1
ThieAudio ghost	over-ear/ThieAudio ghost.csv	Auriculares Argentina	KB501x + 711	over-ear	1
BASN Bmaster5	in-ear/BASN Bmaster5.csv	Bakkwatan	711	in-ear	1
BLON x HBB Z300	in-ear/BLON x HBB Z300.csv	Bakkwatan	711	in-ear	1
DUNU SA6 Ultra (atmospheric immersion mode)	in-ear/DUNU SA6 Ultra (atmospheric immersion mode).csv	Bakkwatan	711	in-ear	1
DUNU SA6 Ultra (default mode)	in-ear/DUNU SA6 Ultra (default mode).csv	Bakkwatan	711	in-ear	1
EPZ Q1	in-ear/EPZ Q1.csv	Bakkwatan	711	in-ear	1
Juzear 41T	in-ear/Juzear 41T.csv	Bakkwatan	711	in-ear	1
Juzear 51T	in-ear/Juzear 51T.csv	Bakkwatan	711	in-ear	1
Kiwi Ears Cadenza	in-ear/Kiwi Ears Cadenza.csv	Bakkwatan	711	in-ear	1
Kiwi Ears Dolce	in-ear/Kiwi Ears Dolce.csv	Bakkwatan	711	in-ear	1
Kiwi Ears Orchestra Lite	in-ear/Kiwi Ears Orchestra Lite.csv	Bakkwatan	711	in-ear	1
Kiwi Ears Quartet (off-off)	in-ear/Kiwi Ears Quartet (off-off).csv	Bakkwatan	711	in-ear	1
Kiwi Ears Quartet (off-on)	in-ear/Kiwi Ears Quartet (off-on).csv	Bakkwatan	711	in-ear	1
Kiwi Ears Quartet (on-off)	in-ear/Kiwi Ears Quartet (on-off).csv	Bakkwatan	711	in-ear	1
Kiwi Ears Quartet (on-on)	in-ear/Kiwi Ears Quartet (on-on).csv	Bakkwatan	711	in-ear	1
KZ x HBB PR2	in-ear/KZ x HBB PR2.csv	Bakkwatan	711	in-ear	1
MiM Audio Dark Magician	in-ear/MiM Audio Dark Magician.csv	Bakkwatan	711	in-ear	1
Moondrop Aria	in-ear/Moondrop Aria.csv	Bakkwatan	711	in-ear	1
Moondrop Blessing 3	in-ear/Moondrop Blessing 3.csv	Bakkwatan	711	in-ear	1
Moondrop Quarks DSP	in-ear/Moondrop Quarks DSP.csv	Bakkwatan	711	in-ear	1
Moondrop x Crinacle Blessing2 Dusk	in-ear/Moondrop x Crinacle Blessing2 Dusk.csv	Bakkwatan	711	in-ear	1
Sennheiser IE 200	in-ear/Sennheiser IE 200.csv	Bakkwatan	711	in-ear	1
Shuoer EJ07M Kinda Lava Edition	in-ear/Shuoer EJ07M Kinda Lava Edition.csv	Bakkwatan	711	in-ear	1
Shuoer Galileo	in-ear/Shuoer Galileo.csv	Bakkwatan	711	in-ear	1
Tanchjim HANA 2021	in-ear/Tanchjim HANA 2021.csv	Bakkwatan	711	in-ear	1
TANGZU Princess Chang Le	in-ear/TANGZU Princess Chang Le.csv	Bakkwatan	711	in-ear	1
TANGZU Wan'er S.G	in-ear/TANGZU Wan'er S.G.csv	Bakkwatan	711	in-ear	1
TANGZU x HBB Zetian Wu Heyday Edition	in-ear/TANGZU x HBB Zetian Wu Heyday Edition.csv	Bakkwatan	711	in-ear	1
TANGZU x SeeAudio Shimin Li Encounter Edition	in-ear/TANGZU x SeeAudio Shimin Li Encounter Edition.csv	Bakkwatan	711	in-ear	1
TANGZU Zetian Wu	in-ear/TANGZU Zetian Wu.csv	Bakkwatan	711	in-ear	1
ThieAudio Hype 2	in-ear/ThieAudio Hype 2.csv	Bakkwatan	711	in-ear	1
ThieAudio Monarch MKIII	in-ear/ThieAudio Monarch MKIII.csv	Bakkwatan	711	in-ear	1
ThieAudio Oracle MKII	in-ear/ThieAudio Oracle MKII.csv	Bakkwatan	711	in-ear	1
ThieAudio Prestige LTD	in-ear/ThieAudio Prestige LTD.csv	Bakkwatan	711	in-ear	1
Tripowin Olina SE	in-ear/Tripowin Olina SE.csv	Bakkwatan	711	in-ear	1
Tripowin Piccolo	in-ear/Tripowin Piccolo.csv	Bakkwatan	711	in-ear	1
Truthear Hexa	in-ear/Truthear Hexa.csv	Bakkwatan	711	in-ear	1
Truthear x Crinacle Zero RED (Bass+)	in-ear/Truthear x Crinacle Zero RED (Bass+).csv	Bakkwatan	711	in-ear	1
Truthear x Crinacle Zero RED	in-ear/Truthear x Crinacle Zero RED (Bakkwatan).csv	Bakkwatan	711	in-ear	1
Xenns Mangird Top	in-ear/Xenns Mangird Top.csv	Bakkwatan	711	in-ear	1
Yanyin Moonlight (2023 version)	in-ear/Yanyin Moonlight (2023 version).csv	Bakkwatan	711	in-ear	1
1MORE ComfoBuds Mini	in-ear/1MORE ComfoBuds Mini.csv	DHRME	711	in-ear	1
Anker Liberty 4 Pro	in-ear/Anker Liberty 4 Pro.csv	DHRME	711	in-ear	1
Anker Liberty 5	in-ear/Anker Liberty 5.csv	DHRME	711	in-ear	1
Anker Soundcore Liberty 4 NC	in-ear/Anker Soundcore Liberty 4 NC.csv	DHRME	711	in-ear	1
Anker Soundcore Sleep A20	in-ear/Anker Soundcore Sleep A20.csv	DHRME	711	in-ear	1
Bang & Olufsen BeoPlay Ex	in-ear/Bang & Olufsen BeoPlay Ex.csv	DHRME	711	in-ear	1
Beats PowerBeats Pro 2	in-ear/Beats PowerBeats Pro 2.csv	DHRME	711	in-ear	1
Beyerdynamic Amiron 100 (eq off)	in-ear/Beyerdynamic Amiron 100 (eq off).csv	DHRME	711	in-ear	1
Beyerdynamic Amiron 300 (eq off, ANC Max)	in-ear/Beyerdynamic Amiron 300 (eq off, ANC Max).csv	DHRME	711	in-ear	1
Bose QuietComfort EarBuds 2024	in-ear/Bose QuietComfort EarBuds 2024.csv	DHRME	711	in-ear	1
Bose QuietComfort Ultra Earbuds	in-ear/Bose QuietComfort Ultra Earbuds.csv	DHRME	711	in-ear	1
Bowers & Wilkins Pi7 S2 (ANC Off)	in-ear/Bowers & Wilkins Pi7 S2 (ANC Off).csv	DHRME	711	in-ear	1
Bowers & Wilkins Pi7 S2 (ANC On)	in-ear/Bowers & Wilkins Pi7 S2 (ANC On).csv	DHRME	711	in-ear	1
Bowers & Wilkins Pi8	in-ear/Bowers & Wilkins Pi8.csv	DHRME	711	in-ear	1
Cambridge Audio Melomania M100 (foam eartips)	in-ear/Cambridge Audio Melomania M100 (foam eartips).csv	DHRME	711	in-ear	1
Cambridge Audio Melomania M100 (silicone eartips)	in-ear/Cambridge Audio Melomania M100 (silicone eartips).csv	DHRME	711	in-ear	1
Campfire Audio Orbit	in-ear/Campfire Audio Orbit.csv	DHRME	711	in-ear	1
CMF by Nothing Buds Pro (ANC on, balanced EQ)	in-ear/CMF by Nothing Buds Pro (ANC on, balanced EQ).csv	DHRME	711	in-ear	1
Creative Labs Aurvana Ace 2 (ANC off, flat eq)	in-ear/Creative Labs Aurvana Ace 2 (ANC off, flat eq).csv	DHRME	711	in-ear	1
Creative Labs Aurvana Ace 2 (ANC on, flat eq)	in-ear/Creative Labs Aurvana Ace 2 (ANC on, flat eq).csv	DHRME	711	in-ear	1
Denon Perl Pro (ANC On, flat eq)	in-ear/Denon Perl Pro (ANC On, flat eq).csv	DHRME	711	in-ear	1
EarFun Air 2 NC	in-ear/EarFun Air 2 NC.csv	DHRME	711	in-ear	1
EarFun Air Pro 2 (A eartips)	in-ear/EarFun Air Pro 2 (A eartips).csv	DHRME	711	in-ear	1
EarFun Air Pro 2 (B eartips)	in-ear/EarFun Air Pro 2 (B eartips).csv	DHRME	711	in-ear	1
EarFun Air Pro 3 (ANC noise cancelling, default EQ)	in-ear/EarFun Air Pro 3 (ANC noise cancelling, default EQ).csv	DHRME	711	in-ear	1
EarFun Air Pro 3 (ANC normal, default EQ)	in-ear/EarFun Air Pro 3 (ANC normal, default EQ).csv	DHRME	711	in-ear	1
EarFun Air Pro 3	in-ear/EarFun Air Pro 3.csv	DHRME	711	in-ear	1
EarFun EH100 (black ring)	in-ear/EarFun EH100 (black ring).csv	DHRME	711	in-ear	1
EarFun EH100 (red ring)	in-ear/EarFun EH100 (red ring).csv	DHRME	711	in-ear	1
EarFun Free Pro 3 (ANC off, default EQ)	in-ear/EarFun Free Pro 3 (ANC off, default EQ).csv	DHRME	711	in-ear	1
EarFun Free Pro	in-ear/EarFun Free Pro.csv	DHRME	711	in-ear	1
Edifier NeoBuds Pro 2 (ANC high, classic EQ)	in-ear/Edifier NeoBuds Pro 2 (ANC high, classic EQ).csv	DHRME	711	in-ear	1
Edifier NeoBuds Pro 2 (ANC off, classic EQ)	in-ear/Edifier NeoBuds Pro 2 (ANC off, classic EQ).csv	DHRME	711	in-ear	1
Edifier Stax Spirit S10 (original eq)	in-ear/Edifier Stax Spirit S10 (original eq).csv	DHRME	711	in-ear	1
Fairphone Fairbuds (flat eq, ANC Off)	in-ear/Fairphone Fairbuds (flat eq, ANC Off).csv	DHRME	711	in-ear	1
Fairphone Fairbuds (flat eq, ANC On)	in-ear/Fairphone Fairbuds (flat eq, ANC On).csv	DHRME	711	in-ear	1
Google Pixel Buds Pro 2	in-ear/Google Pixel Buds Pro 2.csv	DHRME	711	in-ear	1
HIFIMAN Svanar (ANC Hifi)	in-ear/HIFIMAN Svanar (ANC Hifi).csv	DHRME	711	in-ear	1
HIFIMAN Svanar (ANC)	in-ear/HIFIMAN Svanar (ANC).csv	DHRME	711	in-ear	1
Huawei Free Buds Pro 3 (ANC max)	in-ear/Huawei Free Buds Pro 3 (ANC max).csv	DHRME	711	in-ear	1
Huawei Free Buds Pro 4 (default eq)	in-ear/Huawei Free Buds Pro 4 (default eq).csv	DHRME	711	in-ear	1
Jabra Elite 10 Gen 2	in-ear/Jabra Elite 10 Gen 2.csv	DHRME	711	in-ear	1
Jabra Elite 10	in-ear/Jabra Elite 10.csv	DHRME	711	in-ear	1
Jabra Elite 4	in-ear/Jabra Elite 4.csv	DHRME	711	in-ear	1
Jabra Elite 5	in-ear/Jabra Elite 5.csv	DHRME	711	in-ear	1
Jabra Elite 8 Active 2	in-ear/Jabra Elite 8 Active 2.csv	DHRME	711	in-ear	1
Jabra Elite 8 Active	in-ear/Jabra Elite 8 Active.csv	DHRME	711	in-ear	1
JBL Tour Pro 3 (eq off)	in-ear/JBL Tour Pro 3 (eq off).csv	DHRME	711	in-ear	1
JLab Audio Epic Lab Edition (JLab Signature eq)	in-ear/JLab Audio Epic Lab Edition (JLab Signature eq).csv	DHRME	711	in-ear	1
KZ Carol	in-ear/KZ Carol.csv	DHRME	711	in-ear	1
KZ VXS Pro	in-ear/KZ VXS Pro.csv	DHRME	711	in-ear	1
KZ VXS	in-ear/KZ VXS.csv	DHRME	711	in-ear	1
Master & Dynamic MW08	in-ear/Master & Dynamic MW08.csv	DHRME	711	in-ear	1
Moondrop Golden Ages (monitor eq)	in-ear/Moondrop Golden Ages (monitor eq).csv	DHRME	711	in-ear	1
Moondrop Space Travel (basshead mode)	in-ear/Moondrop Space Travel (basshead mode).csv	DHRME	711	in-ear	1
Moondrop Space Travel (monitor mode)	in-ear/Moondrop Space Travel (monitor mode).csv	DHRME	711	in-ear	1
Moondrop Space Travel (reference mode)	in-ear/Moondrop Space Travel (reference mode).csv	DHRME	711	in-ear	1
Moondrop x Crinacle DUSK (analog)	in-ear/Moondrop x Crinacle DUSK (analog).csv	DHRME	711	in-ear	1
Moondrop x Crinacle DUSK (Bass+ DSP)	in-ear/Moondrop x Crinacle DUSK (Bass+ DSP).csv	DHRME	711	in-ear	1
Moondrop x Crinacle DUSK (Default DSP)	in-ear/Moondrop x Crinacle DUSK (Default DSP).csv	DHRME	711	in-ear	1
Moondrop x Crinacle DUSK (Diffuse-tilted DSP)	in-ear/Moondrop x Crinacle DUSK (Diffuse-tilted DSP).csv	DHRME	711	in-ear	1
Moondrop x Crinacle DUSK (Harman DSP)	in-ear/Moondrop x Crinacle DUSK (Harman DSP).csv	DHRME	711	in-ear	1
Moondrop x Crinacle DUSK (V DSP)	in-ear/Moondrop x Crinacle DUSK (V DSP).csv	DHRME	711	in-ear	1
Motorola Moto Buds Plus	in-ear/Motorola Moto Buds Plus.csv	DHRME	711	in-ear	1
Noble Audio Fokus Mystique (double flange)	in-ear/Noble Audio Fokus Mystique (double flange).csv	DHRME	711	in-ear	1
Noble Audio Fokus Mystique (single flange)	in-ear/Noble Audio Fokus Mystique (single flange).csv	DHRME	711	in-ear	1
Noble Audio Fokus Mystique	in-ear/Noble Audio Fokus Mystique.csv	DHRME	711	in-ear	1
Nothing ear (1)	in-ear/Nothing ear (1).csv	DHRME	711	in-ear	1
Nothing ear (a)	in-ear/Nothing ear (a).csv	DHRME	711	in-ear	1
Nothing ear	in-ear/Nothing ear.csv	DHRME	711	in-ear	1
OnePlus Buds 3	in-ear/OnePlus Buds 3.csv	DHRME	711	in-ear	1
Oppo Enco X2 (Enco classic preset)	in-ear/Oppo Enco X2 (Enco classic preset).csv	DHRME	711	in-ear	1
Oppo Enco X3i	in-ear/Oppo Enco X3i.csv	DHRME	711	in-ear	1
QCY MeloBuds Pro	in-ear/QCY MeloBuds Pro.csv	DHRME	711	in-ear	1
realme Buds Air6 Pro (Nature Balance eq)	in-ear/realme Buds Air6 Pro (Nature Balance eq).csv	DHRME	711	in-ear	1
Samsung Galaxy Buds FE	in-ear/Samsung Galaxy Buds FE.csv	DHRME	711	in-ear	1
Samsung Galaxy Buds3 Pro	in-ear/Samsung Galaxy Buds3 Pro.csv	DHRME	711	in-ear	1
Sennheiser Accentum TWS	in-ear/Sennheiser Accentum TWS.csv	DHRME	711	in-ear	1
Sennheiser CX Plus True Wireless	in-ear/Sennheiser CX Plus True Wireless.csv	DHRME	711	in-ear	1
Sennheiser Momentum True Wireless 3 (ANC off)	in-ear/Sennheiser Momentum True Wireless 3 (ANC off).csv	DHRME	711	in-ear	1
Sennheiser Momentum True Wireless 3 (ANC on)	in-ear/Sennheiser Momentum True Wireless 3 (ANC on).csv	DHRME	711	in-ear	1
Sennheiser Momentum True Wireless 4 (ANC Off)	in-ear/Sennheiser Momentum True Wireless 4 (ANC Off).csv	DHRME	711	in-ear	1
Sennheiser Momentum True Wireless 4 (ANC On)	in-ear/Sennheiser Momentum True Wireless 4 (ANC On).csv	DHRME	711	in-ear	1
Sony LinkBuds Fit	in-ear/Sony LinkBuds Fit.csv	DHRME	711	in-ear	1
Sony LinkBuds S (ANC Off)	in-ear/Sony LinkBuds S (ANC Off).csv	DHRME	711	in-ear	1
Sony LinkBuds S (ANC on)	in-ear/Sony LinkBuds S (ANC on).csv	DHRME	711	in-ear	1
Sony WF-1000XM5	in-ear/Sony WF-1000XM5.csv	DHRME	711	in-ear	1
SoundPeats Air4 Pro (ANC Off)	in-ear/SoundPeats Air4 Pro (ANC Off).csv	DHRME	711	in-ear	1
