name	filepath	source	rig	type	channels
SeeAudio Yume 2	in-ear/SeeAudio Yume 2.csv	Harpo	711	in-ear	1
Shanling MG100 (red nozzle)	in-ear/Shanling MG100 (red nozzle).csv	Harpo	711	in-ear	1
Shanling MG100 (silver nozzle)	in-ear/Shanling MG100 (silver nozzle).csv	Harpo	711	in-ear	1
Shanling Sono (black nozzle)	in-ear/Shanling Sono (black nozzle).csv	Harpo	711	in-ear	1
Shanling Sono	in-ear/Shanling Sono.csv	Harpo	711	in-ear	1
Shozy Form 1.1	in-ear/Shozy Form 1.1.csv	Harpo	711	in-ear	1
Shozy Magma	in-ear/Shozy Magma.csv	Harpo	711	in-ear	1
Shuoer D13 (gold nozzle)	in-ear/Shuoer D13 (gold nozzle).csv	Harpo	711	in-ear	1
Shuoer D13 (silver nozzle)	in-ear/Shuoer D13 (silver nozzle).csv	Harpo	711	in-ear	1
Shuoer EJ07	in-ear/Shuoer EJ07.csv	Harpo	711	in-ear	1
Shuoer EJ07M Kinda Lava Edition	in-ear/Shuoer EJ07M Kinda Lava Edition (Harpo).csv	Harpo	711	in-ear	1
Shuoer EJ07M	in-ear/Shuoer EJ07M.csv	Harpo	711	in-ear	1
Shuoer S12	in-ear/Shuoer S12 (Harpo).csv	Harpo	711	in-ear	1
Simgot Audio EA500	in-ear/Simgot Audio EA500.csv	Harpo	711	in-ear	1
Simgot Audio EA500LM (black nozzle)	in-ear/Simgot Audio EA500LM (black nozzle) (Harpo).csv	Harpo	711	in-ear	1
Simgot Audio EA500LM (bronze nozzle)	in-ear/Simgot Audio EA500LM (bronze nozzle).csv	Harpo	711	in-ear	1
Simgot Audio EA500LM (red nozzle)	in-ear/Simgot Audio EA500LM (red nozzle) (Harpo).csv	Harpo	711	in-ear	1
Simgot Audio EM6L	in-ear/Simgot Audio EM6L (Harpo).csv	Harpo	711	in-ear	1
Simgot Audio EW100P	in-ear/Simgot Audio EW100P.csv	Harpo	711	in-ear	1
Simgot Audio EW200	in-ear/Simgot Audio EW200 (Harpo).csv	Harpo	711	in-ear	1
SoftEars Studio 4	in-ear/SoftEars Studio 4.csv	Harpo	711	in-ear	1
SoftEars Twilight	in-ear/SoftEars Twilight (Harpo).csv	Harpo	711	in-ear	1
SoftEars Volume	in-ear/SoftEars Volume.csv	Harpo	711	in-ear	1
Sony MDR-XB41EX	in-ear/Sony MDR-XB41EX.csv	Harpo	711	in-ear	1
SoundPeats Engine 4	in-ear/SoundPeats Engine 4.csv	Harpo	711	in-ear	1
Tanchjim HANA 2021	in-ear/Tanchjim HANA 2021 (Harpo).csv	Harpo	711	in-ear	1
Tanchjim Ola	in-ear/Tanchjim Ola (Harpo).csv	Harpo	711	in-ear	1
Tanchjim One	in-ear/Tanchjim One (Harpo).csv	Harpo	711	in-ear	1
Tanchjim Tanya	in-ear/Tanchjim Tanya (Harpo).csv	Harpo	711	in-ear	1
TANGZU Fudu	in-ear/TANGZU Fudu.csv	Harpo	711	in-ear	1
TANGZU Wan'er S.G	in-ear/TANGZU Wan'er S.G (Harpo).csv	Harpo	711	in-ear	1
TANGZU Zetian Wu	in-ear/TANGZU Zetian Wu (Harpo).csv	Harpo	711	in-ear	1
TForce Yuan Li	in-ear/TForce Yuan Li.csv	Harpo	711	in-ear	1
TFZ T2 Pro	in-ear/TFZ T2 Pro.csv	Harpo	711	in-ear	1
ThieAudio Monarch MKII	in-ear/ThieAudio Monarch MKII.csv	Harpo	711	in-ear	1
ThieAudio Oracle MKII	in-ear/ThieAudio Oracle MKII (Harpo).csv	Harpo	711	in-ear	1
Tiandirenhe TD15	in-ear/Tiandirenhe TD15.csv	Harpo	711	in-ear	1
Tiandirenhe TD19	in-ear/Tiandirenhe TD19.csv	Harpo	711	in-ear	1
Tin HiFi C0	in-ear/Tin HiFi C0.csv	Harpo	711	in-ear	1
Tin HiFi T2 Plus	in-ear/Tin HiFi T2 Plus.csv	Harpo	711	in-ear	1
Tipsy TTROMSO	in-ear/Tipsy TTROMSO.csv	Harpo	711	in-ear	1
TRI i3 Pro	in-ear/TRI i3 Pro (Harpo).csv	Harpo	711	in-ear	1
TRI Kai	in-ear/TRI Kai.csv	Harpo	711	in-ear	1
TRI Meteor	in-ear/TRI Meteor.csv	Harpo	711	in-ear	1
Tripowin Cencibel	in-ear/Tripowin Cencibel.csv	Harpo	711	in-ear	1
Tripowin Kailua	in-ear/Tripowin Kailua.csv	Harpo	711	in-ear	1
Tripowin Leá	in-ear/Tripowin Leá.csv	Harpo	711	in-ear	1
Tripowin Piccolo	in-ear/Tripowin Piccolo (Harpo).csv	Harpo	711	in-ear	1
Tripowin x HBB Mele	in-ear/Tripowin x HBB Mele.csv	Harpo	711	in-ear	1
TRN MT3	in-ear/TRN MT3.csv	Harpo	711	in-ear	1
TRN ST5	in-ear/TRN ST5.csv	Harpo	711	in-ear	1
TRN V80	in-ear/TRN V80.csv	Harpo	711	in-ear	1
Truthear Hexa	in-ear/Truthear Hexa (Harpo).csv	Harpo	711	in-ear	1
Truthear Hola	in-ear/Truthear Hola (Harpo).csv	Harpo	711	in-ear	1
Truthear x Crinacle Zero RED (Bass+)	in-ear/Truthear x Crinacle Zero RED (Bass+) (Harpo).csv	Harpo	711	in-ear	1
Truthear x Crinacle Zero RED	in-ear/Truthear x Crinacle Zero RED (Harpo).csv	Harpo	711	in-ear	1
Truthear x Crinacle Zero	in-ear/Truthear x Crinacle Zero (Harpo).csv	Harpo	711	in-ear	1
UiiSii BA-T6	in-ear/UiiSii BA-T6.csv	Harpo	711	in-ear	1
Whizzer BS1	in-ear/Whizzer BS1.csv	Harpo	711	in-ear	1
XINHS x Akros Erasmus (off-off)	in-ear/XINHS x Akros Erasmus (off-off) (Harpo).csv	Harpo	711	in-ear	1
XINHS x Akros Erasmus (off-on)	in-ear/XINHS x Akros Erasmus (off-on).csv	Harpo	711	in-ear	1
XINHS x Akros Erasmus (on-off)	in-ear/XINHS x Akros Erasmus (on-off).csv	Harpo	711	in-ear	1
XINHS x Akros Erasmus (on-on)	in-ear/XINHS x Akros Erasmus (on-on) (Harpo).csv	Harpo	711	in-ear	1
ZiiGaat Cincotres	in-ear/ZiiGaat Cincotres.csv	Harpo	711	in-ear	1
ZiiGaat Doscinco	in-ear/ZiiGaat Doscinco.csv	Harpo	711	in-ear	1
Apple EarPods	earbud/Apple EarPods.csv	Headphone.com Legacy		earbud	1
Polk Audio UltraFit 1000	earbud/Polk Audio UltraFit 1000.csv	Headphone.com Legacy		earbud	1
Polk Audio UltraFit 500 (sample 1)	earbud/Polk Audio UltraFit 500 (sample 1).csv	Headphone.com Legacy		earbud	1
Polk Audio UltraFit 500 (sample 2)	earbud/Polk Audio UltraFit 500 (sample 2).csv	Headphone.com Legacy		earbud	1
Polk Audio UltraFit 500	earbud/Polk Audio UltraFit 500.csv	Headphone.com Legacy		earbud	1
Sennheiser MX 560	earbud/Sennheiser MX 560.csv	Headphone.com Legacy		earbud	1
Sennheiser OMX 680	earbud/Sennheiser OMX 680.csv	Headphone.com Legacy		earbud	1
Sennheiser PMX 680	earbud/Sennheiser PMX 680.csv	Headphone.com Legacy		earbud	1
Yuin PK1	earbud/Yuin PK1.csv	Headphone.com Legacy		earbud	1
Yuin PK2	earbud/Yuin PK2.csv	Headphone.com Legacy		earbud	1
AKG K3003 (bass boost filter)	in-ear/AKG K3003 (bass boost filter).csv	Headphone.com Legacy		in-ear	1
AKG K3003 (high boost filter)	in-ear/AKG K3003 (high boost filter).csv	Headphone.com Legacy		in-ear	1
AKG K3003 (reference filter)	in-ear/AKG K3003 (reference filter).csv	Headphone.com Legacy		in-ear	1
AKG Q350 Quincy Jones	in-ear/AKG Q350 Quincy Jones.csv	Headphone.com Legacy		in-ear	1
Cardas EM5813	in-ear/Cardas EM5813.csv	Headphone.com Legacy		in-ear	1
Denon AH-C260R	in-ear/Denon AH-C260R.csv	Headphone.com Legacy		in-ear	1
Denon AH-C351K	in-ear/Denon AH-C351K.csv	Headphone.com Legacy		in-ear	1
Denon AH-C360	in-ear/Denon AH-C360.csv	Headphone.com Legacy		in-ear	1
Denon AH-C452K	in-ear/Denon AH-C452K.csv	Headphone.com Legacy		in-ear	1
Denon AH-C551K	in-ear/Denon AH-C551K.csv	Headphone.com Legacy		in-ear	1
Denon AH-C560R	in-ear/Denon AH-C560R.csv	Headphone.com Legacy		in-ear	1
Denon AH-C710	in-ear/Denon AH-C710.csv	Headphone.com Legacy		in-ear	1
Denon AH-C751K	in-ear/Denon AH-C751K.csv	Headphone.com Legacy		in-ear	1
Etymotic ER4P	in-ear/Etymotic ER4P.csv	Headphone.com Legacy		in-ear	1
Etymotic ER4S	in-ear/Etymotic ER4S.csv	Headphone.com Legacy		in-ear	1
Etymotic ER6i	in-ear/Etymotic ER6i.csv	Headphone.com Legacy		in-ear	1
Etymotic hf2	in-ear/Etymotic hf2.csv	Headphone.com Legacy		in-ear	1
Etymotic hf3	in-ear/Etymotic hf3.csv	Headphone.com Legacy		in-ear	1
Etymotic hf5	in-ear/Etymotic hf5.csv	Headphone.com Legacy		in-ear	1
Etymotic mc3	in-ear/Etymotic mc3.csv	Headphone.com Legacy		in-ear	1
Etymotic mc5	in-ear/Etymotic mc5.csv	Headphone.com Legacy		in-ear	1
Grado GR10	in-ear/Grado GR10.csv	Headphone.com Legacy		in-ear	1
Grado GR8	in-ear/Grado GR8.csv	Headphone.com Legacy		in-ear	1
Grado iGi	in-ear/Grado iGi.csv	Headphone.com Legacy		in-ear	1
Grado iGrado White	in-ear/Grado iGrado White.csv	Headphone.com Legacy		in-ear	1
iHarmonix iHX Pro ev-Series	in-ear/iHarmonix iHX Pro ev-Series.csv	Headphone.com Legacy		in-ear	1
JAYS d-JAYS	in-ear/JAYS d-JAYS.csv	Headphone.com Legacy		in-ear	1
JAYS j-JAYS	in-ear/JAYS j-JAYS.csv	Headphone.com Legacy		in-ear	1
JAYS q-JAYS	in-ear/JAYS q-JAYS.csv	Headphone.com Legacy		in-ear	1
Klipsch Image S2	in-ear/Klipsch Image S2.csv	Headphone.com Legacy		in-ear	1
Klipsch Image S4	in-ear/Klipsch Image S4.csv	Headphone.com Legacy		in-ear	1
Klipsch Image S4i	in-ear/Klipsch Image S4i.csv	Headphone.com Legacy		in-ear	1
Klipsch X-10i	in-ear/Klipsch X-10i.csv	Headphone.com Legacy		in-ear	1
Lenntek Pro Series	in-ear/Lenntek Pro Series.csv	Headphone.com Legacy		in-ear	1
Lenntek Sonix 3 Headset	in-ear/Lenntek Sonix 3 Headset.csv	Headphone.com Legacy		in-ear	1
Maximo iMetal iM-590 White	in-ear/Maximo iMetal iM-590 White.csv	Headphone.com Legacy		in-ear	1
Maximo iMetal iM-590	in-ear/Maximo iMetal iM-590.csv	Headphone.com Legacy		in-ear	1
Maximo iMetal iP-HS5	in-ear/Maximo iMetal iP-HS5.csv	Headphone.com Legacy		in-ear	1
Monster Jamz	in-ear/Monster Jamz.csv	Headphone.com Legacy		in-ear	1
Monster Lil Jamz	in-ear/Monster Lil Jamz.csv	Headphone.com Legacy		in-ear	1
Monster Turbine-Pro	in-ear/Monster Turbine-Pro.csv	Headphone.com Legacy		in-ear	1
Monster Turbine	in-ear/Monster Turbine.csv	Headphone.com Legacy		in-ear	1
Nocs NS 400	in-ear/Nocs NS 400.csv	Headphone.com Legacy		in-ear	1
Nocs NS200	in-ear/Nocs NS200.csv	Headphone.com Legacy		in-ear	1
Nocs NS700	in-ear/Nocs NS700.csv	Headphone.com Legacy		in-ear	1
Nocs NS800	in-ear/Nocs NS800.csv	Headphone.com Legacy		in-ear	1
Phiaton PS 200	in-ear/Phiaton PS 200.csv	Headphone.com Legacy		in-ear	1
Phiaton PS 210	in-ear/Phiaton PS 210.csv	Headphone.com Legacy		in-ear	1
Polk Audio UltraFit 3000 (sample A)	in-ear/Polk Audio UltraFit 3000 (sample A).csv	Headphone.com Legacy		in-ear	1
Polk Audio UltraFit 3000 (sample B)	in-ear/Polk Audio UltraFit 3000 (sample B).csv	Headphone.com Legacy		in-ear	1
Polk Audio UltraFit 3000	in-ear/Polk Audio UltraFit 3000.csv	Headphone.com Legacy		in-ear	1
Sennheiser CX 300-II	in-ear/Sennheiser CX 300-II.csv	Headphone.com Legacy		in-ear	1
Sennheiser CX 500	in-ear/Sennheiser CX 500.csv	Headphone.com Legacy		in-ear	1
Sennheiser CX 680	in-ear/Sennheiser CX 680.csv	Headphone.com Legacy		in-ear	1
Sennheiser CX 880	in-ear/Sennheiser CX 880.csv	Headphone.com Legacy		in-ear	1
Sennheiser IE 8	in-ear/Sennheiser IE 8.csv	Headphone.com Legacy		in-ear	1
Sennheiser MM 50 iP	in-ear/Sennheiser MM 50 iP.csv	Headphone.com Legacy		in-ear	1
Shure SE110	in-ear/Shure SE110.csv	Headphone.com Legacy		in-ear	1
Shure SE210	in-ear/Shure SE210.csv	Headphone.com Legacy		in-ear	1
Shure SE215	in-ear/Shure SE215.csv	Headphone.com Legacy		in-ear	1
Shure SE310	in-ear/Shure SE310.csv	Headphone.com Legacy		in-ear	1
Shure SE315	in-ear/Shure SE315.csv	Headphone.com Legacy		in-ear	1
Shure SE420	in-ear/Shure SE420.csv	Headphone.com Legacy		in-ear	1
Shure SE425	in-ear/Shure SE425.csv	Headphone.com Legacy		in-ear	1
Shure SE530	in-ear/Shure SE530.csv	Headphone.com Legacy		in-ear	1
Shure SE535	in-ear/Shure SE535.csv	Headphone.com Legacy		in-ear	1
Shure SE846 (black)	in-ear/Shure SE846 (black).csv	Headphone.com Legacy		in-ear	1
Shure SE846 (blue)	in-ear/Shure SE846 (blue).csv	Headphone.com Legacy		in-ear	1
Shure SE846 (white)	in-ear/Shure SE846 (white).csv	Headphone.com Legacy		in-ear	1
Skullcandy Holua	in-ear/Skullcandy Holua.csv	Headphone.com Legacy		in-ear	1
Skullcandy Smokin Buds- Mic'd	in-ear/Skullcandy Smokin Buds- Mic'd.csv	Headphone.com Legacy		in-ear	1
Skullcandy Smokin Buds	in-ear/Skullcandy Smokin Buds.csv	Headphone.com Legacy		in-ear	1
Sleek SA1	in-ear/Sleek SA1.csv	Headphone.com Legacy		in-ear	1
Sleek SA6	in-ear/Sleek SA6.csv	Headphone.com Legacy		in-ear	1
Sony MDR-7550	in-ear/Sony MDR-7550.csv	Headphone.com Legacy		in-ear	1
Sony MDR-AS40EX	in-ear/Sony MDR-AS40EX.csv	Headphone.com Legacy		in-ear	1
Sony MDR-AS50G	in-ear/Sony MDR-AS50G.csv	Headphone.com Legacy		in-ear	1
Sony MDR-EX56LP	in-ear/Sony MDR-EX56LP.csv	Headphone.com Legacy		in-ear	1
Sony MDR-EX57LP	in-ear/Sony MDR-EX57LP.csv	Headphone.com Legacy		in-ear	1
Thinksoud RAIN	in-ear/Thinksoud RAIN.csv	Headphone.com Legacy		in-ear	1
Thinksound ts01	in-ear/Thinksound ts01.csv	Headphone.com Legacy		in-ear	1
Thinksound ts02	in-ear/Thinksound ts02.csv	Headphone.com Legacy		in-ear	1
Ultimate Ears UE350	in-ear/Ultimate Ears UE350.csv	Headphone.com Legacy		in-ear	1
Ultimate Ears UE500	in-ear/Ultimate Ears UE500.csv	Headphone.com Legacy		in-ear	1
Ultimate Ears UE600	in-ear/Ultimate Ears UE600.csv	Headphone.com Legacy		in-ear	1
Ultimate Ears UE700	in-ear/Ultimate Ears UE700.csv	Headphone.com Legacy		in-ear	1
Westone 4R	in-ear/Westone 4R.csv	Headphone.com Legacy		in-ear	1
Westone UM1	in-ear/Westone UM1.csv	Headphone.com Legacy		in-ear	1
Westone UM3X RC	in-ear/Westone UM3X RC.csv	Headphone.com Legacy		in-ear	1
Westone W2	in-ear/Westone W2.csv	Headphone.com Legacy		in-ear	1
Woodees iESW100B	in-ear/Woodees iESW100B.csv	Headphone.com Legacy		in-ear	1
Woodees iESW100L 24K Blues	in-ear/Woodees iESW100L 24K Blues.csv	Headphone.com Legacy		in-ear	1
Woodees iESW101B	in-ear/Woodees iESW101B.csv	Headphone.com Legacy		in-ear	1
Woodees iESW101V Vintage	in-ear/Woodees iESW101V Vintage.csv	Headphone.com Legacy		in-ear	1
AKG K240 MKII	over-ear/AKG K240 MKII.csv	Headphone.com Legacy		over-ear	1
AKG K271 MKII	over-ear/AKG K271 MKII.csv	Headphone.com Legacy		over-ear	1
AKG K272HD	over-ear/AKG K272HD.csv	Headphone.com Legacy		over-ear	1
AKG K550	over-ear/AKG K550.csv	Headphone.com Legacy		over-ear	1
AKG K601	over-ear/AKG K601.csv	Headphone.com Legacy		over-ear	1
AKG K701	over-ear/AKG K701 (Headphone.com Legacy).csv	Headphone.com Legacy		over-ear	1
AKG K702	over-ear/AKG K702 (Headphone.com Legacy).csv	Headphone.com Legacy		over-ear	1
AKG K712	over-ear/AKG K712.csv	Headphone.com Legacy		over-ear	1
AKG K81 DJ	over-ear/AKG K81 DJ.csv	Headphone.com Legacy		over-ear	1
AKG K812	over-ear/AKG K812.csv	Headphone.com Legacy		over-ear	1
AKG Q460 Quincy Jones	over-ear/AKG Q460 Quincy Jones.csv	Headphone.com Legacy		over-ear	1
AKG Q701 Quincy Jones	over-ear/AKG Q701 Quincy Jones.csv	Headphone.com Legacy		over-ear	1
Audeze LCD-2 (Rev 2)	over-ear/Audeze LCD-2 (Rev 2).csv	Headphone.com Legacy		over-ear	1
Audeze LCD-3	over-ear/Audeze LCD-3.csv	Headphone.com Legacy		over-ear	1
Audeze LCD-X	over-ear/Audeze LCD-X (Headphone.com Legacy).csv	Headphone.com Legacy		over-ear	1
Audeze LCD-XC	over-ear/Audeze LCD-XC.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-A55	over-ear/Audio-Technica ATH-A55.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-A700	over-ear/Audio-Technica ATH-A700.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-A900	over-ear/Audio-Technica ATH-A900.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-AD500	over-ear/Audio-Technica ATH-AD500.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-AD700	over-ear/Audio-Technica ATH-AD700.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-AD900	over-ear/Audio-Technica ATH-AD900.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-ANC7b	over-ear/Audio-Technica ATH-ANC7b.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-ESW9	over-ear/Audio-Technica ATH-ESW9.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-ESW9A	over-ear/Audio-Technica ATH-ESW9A.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-FC700A	over-ear/Audio-Technica ATH-FC700A.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-M10	over-ear/Audio-Technica ATH-M10.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-M50	over-ear/Audio-Technica ATH-M50.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-M50x	over-ear/Audio-Technica ATH-M50x (Headphone.com Legacy).csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-PRO700	over-ear/Audio-Technica ATH-PRO700.csv	Headphone.com Legacy		over-ear	1
Audio-Technica ATH-W5000	over-ear/Audio-Technica ATH-W5000.csv	Headphone.com Legacy		over-ear	1
Beyerdynamic Custom One Pro (step 2)	over-ear/Beyerdynamic Custom One Pro (step 2).csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 1350	over-ear/Beyerdynamic DT 1350.csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 231	over-ear/Beyerdynamic DT 231.csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 235	over-ear/Beyerdynamic DT 235.csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 250 (250 Ohm)	over-ear/Beyerdynamic DT 250 (250 Ohm).csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 770 Pro (250 Ohm)	over-ear/Beyerdynamic DT 770 Pro (250 Ohm) (Headphone.com Legacy).csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 770 Pro (32 Ohm)	over-ear/Beyerdynamic DT 770 Pro (32 Ohm).csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 770 Pro (600 Ohm)	over-ear/Beyerdynamic DT 770 Pro (600 Ohm).csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 880 (250 Ohm)	over-ear/Beyerdynamic DT 880 (250 Ohm) (Headphone.com Legacy).csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 880 (32 Ohm)	over-ear/Beyerdynamic DT 880 (32 Ohm).csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 880 (600 Ohm)	over-ear/Beyerdynamic DT 880 (600 Ohm).csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 990 (600 Ohm)	over-ear/Beyerdynamic DT 990 (600 Ohm).csv	Headphone.com Legacy		over-ear	1
Beyerdynamic DT 990 Pro	over-ear/Beyerdynamic DT 990 Pro (Headphone.com Legacy).csv	Headphone.com Legacy		over-ear	1
Beyerdynamic T1	over-ear/Beyerdynamic T1.csv	Headphone.com Legacy		over-ear	1
Beyerdynamic T50p	over-ear/Beyerdynamic T50p.csv	Headphone.com Legacy		over-ear	1
Beyerdynamic T5p	over-ear/Beyerdynamic T5p.csv	Headphone.com Legacy		over-ear	1
Beyerdynamic T70	over-ear/Beyerdynamic T70.csv	Headphone.com Legacy		over-ear	1
Beyerdynamic T70p	over-ear/Beyerdynamic T70p.csv	Headphone.com Legacy		over-ear	1
Beyerdynamic T90	over-ear/Beyerdynamic T90.csv	Headphone.com Legacy		over-ear	1
Bose QuietComfort 15	over-ear/Bose QuietComfort 15.csv	Headphone.com Legacy		over-ear	1
Bose QuietComfort 3	over-ear/Bose QuietComfort 3.csv	Headphone.com Legacy		over-ear	1
Denon AH-D1001K Silver	over-ear/Denon AH-D1001K Silver.csv	Headphone.com Legacy		over-ear	1
Denon AH-D1100	over-ear/Denon AH-D1100.csv	Headphone.com Legacy		over-ear	1
Denon AH-D2000	over-ear/Denon AH-D2000.csv	Headphone.com Legacy		over-ear	1
Denon AH-D310R	over-ear/Denon AH-D310R.csv	Headphone.com Legacy		over-ear	1
Denon AH-D5000	over-ear/Denon AH-D5000.csv	Headphone.com Legacy		over-ear	1
Denon AH-D600	over-ear/Denon AH-D600.csv	Headphone.com Legacy		over-ear	1
Denon AH-D7000	over-ear/Denon AH-D7000.csv	Headphone.com Legacy		over-ear	1
Denon AH-D7100	over-ear/Denon AH-D7100.csv	Headphone.com Legacy		over-ear	1
Denon AH-NC732K	over-ear/Denon AH-NC732K.csv	Headphone.com Legacy		over-ear	1
Focal Spirit One	over-ear/Focal Spirit One.csv	Headphone.com Legacy		over-ear	1
Fostex TH600	over-ear/Fostex TH600.csv	Headphone.com Legacy		over-ear	1
Fostex TH900	over-ear/Fostex TH900.csv	Headphone.com Legacy		over-ear	1
Grado GS1000	over-ear/Grado GS1000.csv	Headphone.com Legacy		over-ear	1
Grado PS1000	over-ear/Grado PS1000.csv	Headphone.com Legacy		over-ear	1
Grado PS500	over-ear/Grado PS500.csv	Headphone.com Legacy		over-ear	1
Grado RS1	over-ear/Grado RS1.csv	Headphone.com Legacy		over-ear	1
Grado RS2	over-ear/Grado RS2.csv	Headphone.com Legacy		over-ear	1
Grado SR125i	over-ear/Grado SR125i.csv	Headphone.com Legacy		over-ear	1
Grado SR225	over-ear/Grado SR225.csv	Headphone.com Legacy		over-ear	1
Grado SR325	over-ear/Grado SR325.csv	Headphone.com Legacy		over-ear	1
Grado SR60	over-ear/Grado SR60.csv	Headphone.com Legacy		over-ear	1
Grado SR80	over-ear/Grado SR80.csv	Headphone.com Legacy		over-ear	1
HIFIMAN HE-400	over-ear/HIFIMAN HE-400.csv	Headphone.com Legacy		over-ear	1
HIFIMAN HE-5	over-ear/HIFIMAN HE-5.csv	Headphone.com Legacy		over-ear	1
HIFIMAN HE-500	over-ear/HIFIMAN HE-500.csv	Headphone.com Legacy		over-ear	1
HIFIMAN HE-5LE	over-ear/HIFIMAN HE-5LE.csv	Headphone.com Legacy		over-ear	1
HIFIMAN HE6	over-ear/HIFIMAN HE6.csv	Headphone.com Legacy		over-ear	1
KEF M500	over-ear/KEF M500.csv	Headphone.com Legacy		over-ear	1
Klipsch Image One	over-ear/Klipsch Image One.csv	Headphone.com Legacy		over-ear	1
Klipsch Mode M40	over-ear/Klipsch Mode M40.csv	Headphone.com Legacy		over-ear	1
Klipsch Reference ONE	over-ear/Klipsch Reference ONE.csv	Headphone.com Legacy		over-ear	1
Koss KDE250	over-ear/Koss KDE250.csv	Headphone.com Legacy		over-ear	1
Koss KSC75	over-ear/Koss KSC75 (Headphone.com Legacy).csv	Headphone.com Legacy		over-ear	1
Koss Porta Pro (sample 1)	over-ear/Koss Porta Pro (sample 1).csv	Headphone.com Legacy		over-ear	1
Koss Porta Pro (sample 2)	over-ear/Koss Porta Pro (sample 2).csv	Headphone.com Legacy		over-ear	1
Koss Porta Pro Aniv Ed	over-ear/Koss Porta Pro Aniv Ed.csv	Headphone.com Legacy		over-ear	1
Koss Porta Pro	over-ear/Koss Porta Pro.csv	Headphone.com Legacy		over-ear	1
Koss PRO DJ 100	over-ear/Koss PRO DJ 100.csv	Headphone.com Legacy		over-ear	1
Koss SportaPro	over-ear/Koss SportaPro.csv	Headphone.com Legacy		over-ear	1
Koss Tony Bennett	over-ear/Koss Tony Bennett.csv	Headphone.com Legacy		over-ear	1
Koss UR 20	over-ear/Koss UR 20.csv	Headphone.com Legacy		over-ear	1
Koss UR 29	over-ear/Koss UR 29.csv	Headphone.com Legacy		over-ear	1
KRK SYSTEMS KNS 6400	over-ear/KRK SYSTEMS KNS 6400.csv	Headphone.com Legacy		over-ear	1
KRK SYSTEMS KNS 8400	over-ear/KRK SYSTEMS KNS 8400.csv	Headphone.com Legacy		over-ear	1
Marshall Major	over-ear/Marshall Major.csv	Headphone.com Legacy		over-ear	1
Monster Solo	over-ear/Monster Solo.csv	Headphone.com Legacy		over-ear	1
NAD VISO HP50	over-ear/NAD VISO HP50.csv	Headphone.com Legacy		over-ear	1
Noontec Zoro	over-ear/Noontec Zoro.csv	Headphone.com Legacy		over-ear	1
Oppo PM1	over-ear/Oppo PM1.csv	Headphone.com Legacy		over-ear	1
Ortofon 1	over-ear/Ortofon 1.csv	Headphone.com Legacy		over-ear	1
Ortofon 2	over-ear/Ortofon 2.csv	Headphone.com Legacy		over-ear	1
Phiaton Bridge MS 500	over-ear/Phiaton Bridge MS 500.csv	Headphone.com Legacy		over-ear	1
Phiaton MS 300	over-ear/Phiaton MS 300.csv	Headphone.com Legacy		over-ear	1
Phiaton MS 400	over-ear/Phiaton MS 400.csv	Headphone.com Legacy		over-ear	1
Phiaton PS 300 NC	over-ear/Phiaton PS 300 NC.csv	Headphone.com Legacy		over-ear	1
Phiaton PS 320	over-ear/Phiaton PS 320.csv	Headphone.com Legacy		over-ear	1
Phiaton PS 500	over-ear/Phiaton PS 500.csv	Headphone.com Legacy		over-ear	1
Pioneer HDJ-1000 Gold	over-ear/Pioneer HDJ-1000 Gold.csv	Headphone.com Legacy		over-ear	1
Pioneer HDJ-1000	over-ear/Pioneer HDJ-1000.csv	Headphone.com Legacy		over-ear	1
Pioneer HDJ-2000	over-ear/Pioneer HDJ-2000.csv	Headphone.com Legacy		over-ear	1
Pioneer HDJ-500	over-ear/Pioneer HDJ-500.csv	Headphone.com Legacy		over-ear	1
Polk Audio UltraFit 2000 (sample A)	over-ear/Polk Audio UltraFit 2000 (sample A).csv	Headphone.com Legacy		over-ear	1
